Tn,Th,Tc,Tr,Dn,D,Mn,M,C,N,A,H,IL12,IL10,E,Ig,IL6
4547.373831,3866.006181,2443.741216,1920.893798,125.9945048,327.7400402,17982.47616,13856.32216,90318.70483,11509.04581,90141.09579,5.610405858,6.424775979,3.171260854,8.863229286,3.210116211,3.415329278
11262.54063,4770.533462,4022.093507,1545.945965,327.1392334,609.9886732,6955.550896,16224.20064,111760.0386,10164.91001,91435.98603,3.842605185,2.836787203,1.356432361,4.027236078,1.192017512,1.283688291
5725.293876,3699.588047,2785.752865,1514.08878,400.2743212,351.9546874,8768.844812,20743.6757,96786.42019,8112.126958,87978.94617,4.491128303,4.015819374,2.126792043,7.679039049,1.967610578,2.138443522
4136.30035,5953.84349,7708.289419,1656.810827,499.1153798,437.1510546,9808.888848,15892.23744,95428.30814,15444.28422,92185.27362,7.539870223,10.43445507,5.076177597,13.70361613,5.716169001,5.797373208
5686.780974,3908.200423,5555.196677,616.4860137,703.5925871,222.3991705,6452.652711,15190.80216,99041.80342,15285.51173,76672.22143,7.69789107,10.18763346,5.045726061,15.04626123,5.165006089,6.006307639
