Tn,Th,Tc,Tr,Dn,D,Mn,M,C,N,A,H,IL12,IL10,E,Ig,IL6
0.05771789,0.500138994,1.203437864,0.288780378,7.85402E-05,3.01936E-05,0.743540984,0.387745313,0.017227359,0.010472084,0.542151479,0.902440049,0.906534646,0.916028428,0.859583804,0.948947246,1.073903219
0.335756264,0.45355025,0.732621265,0.326272075,3.258780841,1.61118E-05,0.378548401,0.691167246,0.020674446,0.03105736,0.531715141,1.303048661,2.257643013,2.158024345,2.174517258,2.45619978,2.354807382
0.511873046,0.311140724,0.499567659,0.024286772,0.008046788,0.000102841,0.770282284,0.466017177,0.036479484,0.038319122,0.498637766,1.176829978,1.306131496,1.310854831,1.192326643,1.429970807,1.995629816
1.156113295,0.771800707,0.357872309,1.000690665,0.703469673,3.072020206,0.233884452,0.294827369,0.083426907,0.175786654,0.487440403,0.701551799,0.659720303,0.644898615,0.465633394,0.717088948,0.587291484
0.663998609,0.340094638,0.559618397,1.705909701,0.732977537,4.63186E-05,0.441649586,0.399293744,0.056258913,0.024432089,0.487706332,0.800386895,0.556767493,0.526706772,0.573474174,0.522588696,0.504970041
