Tn,Th,Tc,Tr,Dn,D,Mn,M,C,N,A,H,IL12,IL10,E,Ig,IL6
262.4648244,1933.540443,2940.890709,554.7164379,0.009895637,0.009895637,13370.70802,5372.723977,1555.952772,120.5236997,48870.12841,5.06305494,5.824282019,2.904965096,7.618688344,3.046230937,3.667733106
3781.468561,2163.676644,2946.671233,504.3989983,1066.075066,0.009828042,2633.012668,11213.63608,2310.57691,315.6952705,48617.89817,5.007101541,6.404452807,2.927214058,8.757294352,2.927833151,3.022838664
2930.623613,1151.092503,1391.672038,36.77232941,3.220922551,0.036195315,6754.485808,9666.909184,3530.718641,310.8495824,43869.62519,5.285294422,5.245188166,2.787915624,9.155922853,2.813625686,4.267541652
4782.031826,4595.180615,2758.583332,1657.955128,351.1125329,1342.936873,2294.146591,4685.466556,7961.288555,2714.899048,44934.82691,5.289609516,6.883821863,3.2736199,6.380861285,4.099001617,3.404747916
3776.014657,1329.158007,3108.790257,1051.669471,515.7175613,0.01030121,2849.8114,6065.592276,5571.984175,373.4569801,37393.52786,6.161291129,5.672143138,2.657618084,8.628642231,2.699173795,3.033005412
